Publisher,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
Gotham Games,0.81,62.5,8.3,76.80724015121065
Graffiti,0.045,51.0,7.2,70.52960664127058
Graphsim Entertainment,0.02,90.0,8.6,78.62831621259228
Groove Games,0.06,32.0,5.8,63.897359810817754
GungHo,0.17833333333333334,63.166666666666664,6.8500000000000005,68.25820053534905
Gust,0.16,70.0,7.449999999999999,71.77715735172923
HMH Interactive,0.1,82.0,8.2,72.69791140668971
Harmonix Music Systems,0.47000000000000003,78.5,6.35,64.62148630194963
Hasbro Interactive,1.43,77.0,7.9,72.75471781090195
Havas Interactive,0.14,88.0,8.8,79.06486704701861
Hello Games,1.75,71.0,4.5,54.44228156424893
Her Interactive,0.01,69.0,6.6,64.44024022460607
Hip Interactive,0.064,51.8,6.340000000000001,63.1988588396138
Home Entertainment Suppliers,0.31,73.0,6.0,66.57028357414603
Hudson Entertainment,0.06,55.0,7.8,72.2815852288494
Hudson Soft,0.1375,55.5,6.8,68.55271852681439
Human Entertainment,0.12000000000000001,55.5,6.550000000000001,66.33447532802697
Iceberg Interactive,0.025,62.0,6.050000000000001,64.26966960375289
Idea Factory,0.05666666666666667,62.888888888888886,7.48888888888889,72.17987436406476
Idea Factory International,0.08,71.66666666666667,7.2,69.34423380028704
Ignition Entertainment,0.14935483870967742,68.0,7.225806451612903,69.1750684936357
Illusion Softworks,0.7,65.0,7.6,69.96375225740037
Indie Games,0.10666666666666667,63.333333333333336,8.433333333333334,75.38175255237296
Infogrames,0.46799999999999997,66.4,7.533333333333333,72.19157672630756
Insomniac Games,0.07666666666666667,69.33333333333333,6.866666666666667,65.76837792399334
Interplay,0.25625,77.75,8.1375,74.29276523626842
Introversion Software,0.04,80.0,8.0,71.4582773359187
Irem Software Engineering,0.07,63.5,6.8,65.76269697586152
Jaleco,0.05714285714285715,60.42857142857143,6.3999999999999995,66.15585149971089
